country_name,channel_name,fiscal_year,constant_amount
United Kingdom,U.S. Government - Other,1953,3135981665
Turkey,U.S. Government - Department of Defense,1986,810958606
Colombia,U.S. Government - Department of State,2008,477107739
Colombia,U.S. Government - Department of State,2009,471646568
World,U.S. Government - Other,1972,1923149458
World,U.S. Government - Other,1973,1835591689
Germany,U.S. Government - Other,1949,3414634146
World,U.S. Government - Other,1973,1831074977
Turkey,U.S. Government - Department of Defense,1994,634696756
Germany,U.S. Government - Other,1949,3402859546
Germany,U.S. Government - Other,1951,3256472492
Russia,U.S. Government - Department of Energy,2008,469356725
World,Partnership for Supply Chain Management,2011,450569104
World,Partnership for Supply Chain Management,2012,442105919
Afghanistan,Afghanistan Reconstruction Trust Fund,2012,441208912
Russia,U.S. Government - Department of Energy,2007,477497911
Spain,U.S. Government - Department of Defense,1985,810044552
Spain,U.S. Government - Department of Defense,1984,836995187
Spain,U.S. Government - Department of Defense,1983,866926745
